qid,minilm_emb_norm,minilm_term_sim_mean,minilm_term_sim_std,minilm_n_terms,bge_emb_norm,bge_term_sim_mean,bge_term_sim_std,bge_n_terms,gte_emb_norm,gte_term_sim_mean,gte_term_sim_std,gte_n_terms,colbert_emb_norm,colbert_term_sim_mean,colbert_term_sim_std,colbert_n_terms,ner_sm_n_entities,ner_sm_entity_ratio,ner_trf_n_entities,ner_trf_entity_ratio,nli_bart-large-mnli_benefit,nli_bart-large-mnli_hurt,nli_DeBERTa-v3-base-mnli-fever-anli_benefit,nli_DeBERTa-v3-base-mnli-fever-anli_hurt
19335,0.9999999403953552,0.44106948375701904,0.2285379022359848,4,1.0,0.7293457984924316,0.09134471416473389,4,1.0,0.8253136873245239,0.055554911494255066,4,12.450879096984863,0.6117861270904541,0.12245388329029083,4,0,0.0,0,0.0,0.8111993670463562,0.1888006627559662,0.6148655414581299,0.38513439893722534
47923,0.9999999403953552,0.3604125678539276,0.18760956823825836,6,1.0,0.6598665118217468,0.08930037170648575,6,1.0,0.8231059908866882,0.04136047512292862,6,11.943342208862305,0.6057819128036499,0.11448875814676285,6,0,0.0,0,0.0,0.6894742846488953,0.31052568554878235,0.7201550602912903,0.2798449397087097
87181,0.9999999403953552,0.3001895844936371,0.19505567848682404,5,0.9999999403953552,0.6671887636184692,0.09360093623399734,5,1.0,0.7941368818283081,0.044020455330610275,5,12.280651092529297,0.5682553052902222,0.12781566381454468,5,0,0.0,0,0.0,0.4007779061794281,0.5992221236228943,0.6607744693756104,0.33922550082206726
87452,1.0,0.3135488033294678,0.1826484501361847,4,1.0,0.6946661472320557,0.08958463370800018,4,1.0,0.8278812170028687,0.04832536727190018,4,12.879559516906738,0.5935775637626648,0.15039674937725067,4,0,0.0,0,0.0,0.4819672107696533,0.5180327296257019,0.5244292616844177,0.4755707383155823
104861,1.0,0.319252073764801,0.1249377653002739,5,1.0,0.7168068885803223,0.06309444457292557,5,1.0,0.8124110102653503,0.04539283737540245,5,12.815314292907715,0.5604594945907593,0.07719012349843979,5,0,0.0,0,0.0,0.7746357917785645,0.22536423802375793,0.5536737442016602,0.44632628560066223
130510,1.0,0.5244437456130981,0.13239030539989471,3,1.0,0.7724539637565613,0.07904236763715744,3,1.0,0.8781804442405701,0.05434393137693405,3,12.177227020263672,0.6031050086021423,0.006714668124914169,3,0,0.0,0,0.0,0.678534209728241,0.32146573066711426,0.5313007831573486,0.46869921684265137
131843,0.9999999403953552,0.3207206428050995,0.29428085684776306,4,1.0,0.7278815507888794,0.11884331703186035,4,0.9999999403953552,0.8336490988731384,0.08001422137022018,4,10.722433090209961,0.6539931297302246,0.08960369229316711,4,0,0.0,0,0.0,0.727816104888916,0.27218392491340637,0.5911032557487488,0.4088967740535736
146187,1.0,0.25293639302253723,0.1972707062959671,8,1.0,0.6698524951934814,0.09226063638925552,8,1.0,0.8032897114753723,0.05904822424054146,8,10.880437850952148,0.7021438479423523,0.12690915167331696,8,0,0.0,1,0.125,0.8567898869514465,0.14321014285087585,0.7044509053230286,0.2955491244792938
148538,0.9999999403953552,0.2809545397758484,0.22056566178798676,5,0.9999999403953552,0.6941652297973633,0.11530183255672455,5,1.0,0.8270168304443359,0.06525988131761551,5,12.419554710388184,0.6044016480445862,0.08701375871896744,5,1,0.2,2,0.4,0.754007875919342,0.24599212408065796,0.7214476466178894,0.278552383184433
156493,0.9999999403953552,0.405218243598938,0.25816354155540466,3,0.9999999403953552,0.7145674824714661,0.07788404077291489,3,1.0,0.8323400616645813,0.06907572597265244,3,12.384129524230957,0.5523955821990967,0.08409801870584488,3,0,0.0,0,0.0,0.9040183424949646,0.09598168730735779,0.7473706603050232,0.2526293694972992
168216,0.9999999403953552,0.3803689479827881,0.2674334645271301,5,1.0,0.6610681414604187,0.1177075058221817,5,0.9999999403953552,0.8355374336242676,0.05804669111967087,5,12.084803581237793,0.5718011260032654,0.04615677893161774,5,0,0.0,0,0.0,0.893056333065033,0.10694362223148346,0.6132187843322754,0.3867811858654022
182539,0.9999999403953552,0.38173341751098633,0.2757467031478882,4,1.0,0.7501012086868286,0.09215740859508514,4,1.0,0.8388983011245728,0.05382809787988663,4,10.568941116333008,0.6007782220840454,0.1764976978302002,4,0,0.0,0,0.0,0.6547907590866089,0.3452092409133911,0.5556942820549011,0.4443056583404541
183378,1.0,0.4678734838962555,0.23075999319553375,3,1.0,0.7817022204399109,0.09815279394388199,3,0.9999999403953552,0.8527631759643555,0.07498299330472946,3,12.205321311950684,0.5487227439880371,0.03796077147126198,3,0,0.0,0,0.0,0.745481014251709,0.25451895594596863,0.658261775970459,0.341738224029541
207786,1.0,0.3001656234264374,0.19454233348369598,6,0.9999999403953552,0.6161894202232361,0.0772523283958435,6,1.0,0.8004603385925293,0.04063202068209648,6,12.566983222961426,0.5241089463233948,0.1279035359621048,6,0,0.0,0,0.0,0.9042286276817322,0.09577137231826782,0.6398806571960449,0.3601193428039551
264014,0.9999999403953552,0.1590089648962021,0.1539119929075241,7,0.9999998807907104,0.6041899919509888,0.08390481024980545,7,0.9999999403953552,0.7870388627052307,0.05215740203857422,7,11.911981582641602,0.5417633652687073,0.1278904229402542,7,0,0.0,0,0.0,0.9275380373001099,0.07246199250221252,0.6499705910682678,0.3500294089317322
359349,0.9999999403953552,0.2024293690919876,0.2433079481124878,8,0.9999999403953552,0.6280171871185303,0.1045471578836441,8,0.9999999403953552,0.7946288585662842,0.05466872453689575,8,11.5363187789917,0.6705586910247803,0.10420418530702591,8,0,0.0,0,0.0,0.9198043942451477,0.08019563555717468,0.7714194655418396,0.2285805195569992
405717,1.0,0.2655382454395294,0.20456767082214355,6,1.0,0.5967998504638672,0.08587362617254257,6,0.9999999403953552,0.8077168464660645,0.05095774307847023,6,12.223519325256348,0.5732269883155823,0.14476178586483002,6,1,0.16666666666666666,2,0.3333333333333333,0.8815815448760986,0.11841851472854614,0.6915095448493958,0.30849048495292664
443396,1.0,0.4295406639575958,0.22506991028785706,3,1.0,0.7195151448249817,0.09888755530118942,3,1.0,0.8649416565895081,0.056154631078243256,3,11.00777816772461,0.5374040007591248,0.01372319646179676,3,1,0.3333333333333333,1,0.3333333333333333,0.5792956352233887,0.42070433497428894,0.5958917140960693,0.40410831570625305
451602,1.0,0.31092119216918945,0.20470872521400452,5,0.9999999403953552,0.6746026277542114,0.058274876326322556,5,1.0,0.7969231605529785,0.030210820958018303,5,11.707060813903809,0.6339291334152222,0.12757541239261627,5,1,0.2,1,0.2,0.7934468984603882,0.20655307173728943,0.6356179714202881,0.3643820881843567
489204,1.0,0.3372703790664673,0.186748668551445,4,1.0,0.6898131966590881,0.03940185531973839,4,1.0,0.8290146589279175,0.029586125165224075,4,12.76956558227539,0.484477698802948,0.06541348248720169,4,1,0.25,0,0.0,0.5588155388832092,0.4411844313144684,0.629706621170044,0.37029337882995605
490595,1.0,0.4553191661834717,0.19948185980319977,3,1.0,0.8056098818778992,0.09169088304042816,3,1.0,0.8227455615997314,0.07168181240558624,3,11.356062889099121,0.48063239455223083,0.04752838611602783,3,1,0.3333333333333333,0,0.0,0.707528829574585,0.29247117042541504,0.6372328400611877,0.36276715993881226
527433,1.0,0.26816654205322266,0.27463218569755554,6,0.9999999403953552,0.6378567218780518,0.09467734396457672,6,0.9999999403953552,0.8029240965843201,0.05270626023411751,6,11.453229904174805,0.6185393929481506,0.11845234036445618,6,0,0.0,0,0.0,0.8031996488571167,0.1968003213405609,0.5672067999839783,0.43279320001602173
