method_name,stage,predictor,tpr_hurt,tpr_benefit,acc,auc,gamma,gamma_p,rho,rho_p,n_queries,n_hurt,n_benefit,timestamp
1b-Qwen3-8B-direct,classifier-1b,Qwen3-8B direct,0.0,0.9167,0.4231,0.3155,-0.5439,0.0992,-0.4285,0.029,26,14,12,2026-03-13T17:31:30.158518+00:00
1b-Qwen3-8B-cot,classifier-1b,Qwen3-8B cot,0.0,0.8333,0.3846,0.4613,-0.1884,0.6777,-0.1163,0.5717,26,14,12,2026-03-13T17:31:30.757412+00:00
1b-Qwen3-8B-expert,classifier-1b,Qwen3-8B expert,0.0714,0.8333,0.4231,0.4256,-0.2475,0.5047,-0.0846,0.681,26,14,12,2026-03-13T17:31:31.334237+00:00
1b-Qwen3-14B-direct,classifier-1b,Qwen3-14B direct,0.0,1.0,0.4615,0.5,0.0,1.0,,,26,14,12,2026-03-13T17:37:34.211495+00:00
1b-Qwen3-14B-cot,classifier-1b,Qwen3-14B cot,0.0,1.0,0.4615,0.5,0.0,1.0,,,26,14,12,2026-03-13T17:37:34.817888+00:00
1b-Qwen3-14B-expert,classifier-1b,Qwen3-14B expert,0.0,1.0,0.4615,0.5,0.0,1.0,,,26,14,12,2026-03-13T17:37:35.385179+00:00
1b-Qwen3-14B-Think-direct,classifier-1b,Qwen3-14B-Think direct,0.0,1.0,0.4615,0.5,0.0,1.0,,,26,14,12,2026-03-13T17:43:37.780224+00:00
1b-Qwen3-14B-Think-cot,classifier-1b,Qwen3-14B-Think cot,0.0,1.0,0.4615,0.5,0.0,1.0,,,26,14,12,2026-03-13T17:43:38.646436+00:00
1b-Qwen3-14B-Think-expert,classifier-1b,Qwen3-14B-Think expert,0.0,1.0,0.4615,0.5,0.0,1.0,,,26,14,12,2026-03-13T17:43:39.461082+00:00
1b-R1-7B-direct,classifier-1b,R1-7B direct,0.3571,0.5833,0.4615,0.4673,-0.0791,0.7646,-0.0825,0.6888,26,14,12,2026-03-13T17:45:43.674117+00:00
1b-R1-7B-cot,classifier-1b,R1-7B cot,0.0,1.0,0.4615,0.4554,-0.4054,0.5709,-0.1239,0.5465,26,14,12,2026-03-13T17:45:44.256557+00:00
1b-R1-7B-expert,classifier-1b,R1-7B expert,0.0,1.0,0.4615,0.4048,-0.64,0.2086,-0.194,0.3424,26,14,12,2026-03-13T17:45:44.853486+00:00
1b-R1-14B-direct,classifier-1b,R1-14B direct,0.0,1.0,0.4615,0.5,0.0,1.0,,,26,14,12,2026-03-13T17:48:41.562246+00:00
1b-R1-14B-cot,classifier-1b,R1-14B cot,0.0,0.75,0.3462,0.3155,-0.5636,0.0702,-0.245,0.2276,26,14,12,2026-03-13T17:48:42.168174+00:00
1b-R1-14B-expert,classifier-1b,R1-14B expert,0.2143,1.0,0.5769,0.4107,-0.2542,0.4309,-0.0397,0.8474,26,14,12,2026-03-13T17:48:42.761774+00:00
