method_name,stage,predictor,tpr_hurt,tpr_benefit,acc,auc,gamma,gamma_p,rho,rho_p,n_queries,n_hurt,n_benefit,timestamp,direction
2d-colbert_score_mean(+),classifier-2d,colbert_score_mean,0.0714,0.9167,0.4615,0.5893,0.1786,0.4641,0.279,0.1675,26,14,12,2026-03-23T21:22:10.441988+00:00,higher→Benefit
2d-colbert_score_std(-),classifier-2d,colbert_score_std,0.2143,0.5833,0.3846,0.5238,0.0476,0.8552,0.0062,0.9762,26,14,12,2026-03-23T21:22:12.300666+00:00,higher→Hurt
2d-colbert_score_max(+),classifier-2d,colbert_score_max,0.0714,0.9167,0.4615,0.5774,0.1548,0.5355,0.2753,0.1735,26,14,12,2026-03-23T21:22:12.968084+00:00,higher→Benefit
2d-colbert_score_min(+),classifier-2d,colbert_score_min,0.0714,0.75,0.3846,0.5774,0.1548,0.5423,0.3098,0.1235,26,14,12,2026-03-23T21:22:14.168941+00:00,higher→Benefit
2d-colbert_score_gap_1_2(+),classifier-2d,colbert_score_gap_1_2,1.0,0.1667,0.6154,0.5774,0.1548,0.5319,0.2883,0.1533,26,14,12,2026-03-23T21:22:15.392772+00:00,higher→Benefit
2d-colbert_score_gap_1_k(+),classifier-2d,colbert_score_gap_1_k,0.7143,0.1667,0.4615,0.506,0.0119,0.979,0.0701,0.7337,26,14,12,2026-03-23T21:22:16.688838+00:00,higher→Benefit
2d-colbert_score_entropy(+),classifier-2d,colbert_score_entropy,0.4286,0.5,0.4615,0.5417,0.0833,0.7473,-0.0509,0.8048,26,14,12,2026-03-23T21:22:18.100390+00:00,higher→Benefit
2d-colbert_top3_vs_rest(-),classifier-2d,colbert_top3_vs_rest,0.2857,0.6667,0.4615,0.5298,0.0595,0.812,0.0082,0.9683,26,14,12,2026-03-23T21:22:19.917075+00:00,higher→Hurt
2d-colbert_score_slope(+),classifier-2d,colbert_score_slope,0.2857,0.6667,0.4615,0.5476,0.0952,0.6961,0.052,0.8009,26,14,12,2026-03-23T21:22:20.543850+00:00,higher→Benefit
2d-reranker_score_mean(-),classifier-2d,reranker_score_mean,0.5714,0.3333,0.4615,0.5714,0.1429,0.5557,-0.0161,0.9379,26,14,12,2026-03-23T21:22:22.368013+00:00,higher→Hurt
2d-reranker_score_std(+),classifier-2d,reranker_score_std,0.5714,0.4167,0.5,0.5774,0.1548,0.5217,0.001,0.996,26,14,12,2026-03-23T21:22:23.015219+00:00,higher→Benefit
2d-reranker_score_max(-),classifier-2d,reranker_score_max,0.8571,0.0833,0.5,0.5655,0.1325,0.5849,0.0089,0.9656,26,14,12,2026-03-23T21:22:24.823713+00:00,higher→Hurt
2d-reranker_score_min(-),classifier-2d,reranker_score_min,0.3571,0.6667,0.5,0.625,0.25,0.2981,0.0933,0.6501,26,14,12,2026-03-23T21:22:26.002573+00:00,higher→Hurt
2d-reranker_score_gap_1_2(-),classifier-2d,reranker_score_gap_1_2,0.1429,0.9167,0.5,0.6101,0.2216,0.3543,0.08,0.6975,26,14,12,2026-03-23T21:22:27.211164+00:00,higher→Hurt
2d-reranker_score_gap_1_k(-),classifier-2d,reranker_score_gap_1_k,0.3571,0.5833,0.4615,0.5179,0.0357,0.9052,0.1214,0.5547,26,14,12,2026-03-23T21:22:28.392917+00:00,higher→Hurt
2d-reranker_score_entropy(+),classifier-2d,reranker_score_entropy,0.1429,0.75,0.4231,0.6012,0.2024,0.4147,0.0711,0.7299,26,14,12,2026-03-23T21:22:29.136319+00:00,higher→Benefit
2d-reranker_top3_vs_rest(+),classifier-2d,reranker_top3_vs_rest,0.7143,0.25,0.5,0.5595,0.119,0.6303,0.0653,0.7513,26,14,12,2026-03-23T21:22:30.317104+00:00,higher→Benefit
2d-reranker_score_slope(+),classifier-2d,reranker_score_slope,0.2143,0.6667,0.4231,0.5119,0.0238,0.9472,0.0944,0.6465,26,14,12,2026-03-23T21:22:31.591113+00:00,higher→Benefit
2d-msmarco_ce_score_mean(+),classifier-2d,msmarco_ce_score_mean,0.3571,0.6667,0.5,0.6071,0.2143,0.3855,0.3443,0.085,26,14,12,2026-03-23T21:22:33.110033+00:00,higher→Benefit
2d-msmarco_ce_score_std(-),classifier-2d,msmarco_ce_score_std,0.1429,0.9167,0.5,0.5833,0.1667,0.4885,0.305,0.1297,26,14,12,2026-03-23T21:22:34.918254+00:00,higher→Hurt
2d-msmarco_ce_score_max(+),classifier-2d,msmarco_ce_score_max,0.4286,0.6667,0.5385,0.6071,0.2143,0.3843,0.319,0.1122,26,14,12,2026-03-23T21:22:35.533535+00:00,higher→Benefit
2d-msmarco_ce_score_min(+),classifier-2d,msmarco_ce_score_min,0.2857,0.9167,0.5769,0.6012,0.2024,0.4035,0.3245,0.1058,26,14,12,2026-03-23T21:22:37.241931+00:00,higher→Benefit
2d-msmarco_ce_score_gap_1_2(-),classifier-2d,msmarco_ce_score_gap_1_2,0.3571,0.5,0.4231,0.5476,0.0952,0.6989,0.028,0.8918,26,14,12,2026-03-23T21:22:39.448396+00:00,higher→Hurt
2d-msmarco_ce_score_gap_1_k(-),classifier-2d,msmarco_ce_score_gap_1_k,0.1429,0.8333,0.4615,0.5774,0.1548,0.5421,0.3252,0.105,26,14,12,2026-03-23T21:22:40.624694+00:00,higher→Hurt
2d-msmarco_ce_score_entropy(-),classifier-2d,msmarco_ce_score_entropy,0.8571,0.1667,0.5385,0.5536,0.1071,0.6665,-0.0014,0.9947,26,14,12,2026-03-23T21:22:41.842190+00:00,higher→Hurt
2d-msmarco_ce_top3_vs_rest(-),classifier-2d,msmarco_ce_top3_vs_rest,0.1429,0.75,0.4231,0.625,0.25,0.2897,0.2438,0.2301,26,14,12,2026-03-23T21:22:43.023187+00:00,higher→Hurt
2d-msmarco_ce_score_slope(+),classifier-2d,msmarco_ce_score_slope,0.4286,0.75,0.5769,0.6905,0.381,0.1044,0.4302,0.0283,26,14,12,2026-03-23T21:22:43.622989+00:00,higher→Benefit
