query_id,dcg_score,mrr_score,majority_at_k_score,ranked_doc_ids
19335,0.5286539592128671,0.5616348055372447,0.6666666666666666,"[""2304005"", ""691496"", ""2304004"", ""1720389"", ""8828697"", ""1720395"", ""6512144"", ""6512137"", ""772234""]"
47923,0.5839708046469811,0.6666666666666666,1.0,"[""618556"", ""2061700"", ""5417578"", ""8418681"", ""6241152"", ""8641107"", ""5417582"", ""6241150"", ""4297620""]"
87181,0.5255733749075454,0.5555555555555556,0.5,"[""6484576"", ""8534130"", ""2530252"", ""8683181"", ""8683183"", ""8534134"", ""6521366"", ""6484575"", ""8565420""]"
87452,0.5284521429022996,0.56,0.5,"[""186939"", ""110898"", ""1395631"", ""186931"", ""8819112"", ""8819113"", ""8081937"", ""8333919"", ""8819116""]"
104861,0.4746316997055164,0.4447702834799608,0.3333333333333333,"[""5703400"", ""5836444"", ""442613"", ""6351571"", ""5138474"", ""6658615"", ""6124839"", ""1811410"", ""2497738""]"
130510,0.5267568522070536,0.5555555555555556,0.3333333333333333,"[""8612910"", ""1494936"", ""8612905"", ""8612902"", ""8612904"", ""7501558"", ""8612909"", ""8612903"", ""799647""]"
131843,0.52986403741641,0.5614035087719298,0.6666666666666666,"[""8305152"", ""6054149"", ""8305154"", ""5325677"", ""8305155"", ""8456964"", ""8305158"", ""8305153"", ""8305156""]"
146187,0.5003444556398398,0.5116279069767442,0.3333333333333333,"[""8434623"", ""744165"", ""8434622"", ""8434625"", ""8434626"", ""8434619"", ""4777144"", ""8434624"", ""8434618""]"
148538,0.5372056731092538,0.5758354755784061,0.6666666666666666,"[""8283532"", ""1392971"", ""4959638"", ""985488"", ""3918785"", ""7407812"", ""985491"", ""231455"", ""7407803""]"
156493,0.5372435736804816,0.5714285714285715,0.5,"[""3288601"", ""6983822"", ""6139386"", ""2612493"", ""8182160"", ""1960257"", ""2928707"", ""3288600"", ""8182162""]"
168216,0.6034876950796129,0.6944444444444444,0.6666666666666666,"[""3830857"", ""2069992"", ""1924800"", ""1924796"", ""8185135"", ""1301467"", ""13499"", ""8723467"", ""1381477""]"
182539,0.5896974624002205,0.6666666666666666,0.6666666666666666,"[""57443"", ""6037973"", ""1307235"", ""2909960"", ""8757181"", ""57444"", ""7371262"", ""1638690"", ""1638689""]"
183378,0.5052926836159717,0.5152224824355972,0.3333333333333333,"[""7449748"", ""6109454"", ""5534710"", ""3185611"", ""4493915"", ""4803847"", ""1289489"", ""7449744"", ""8570258""]"
207786,0.5400834448085812,0.5807950438822922,0.5,"[""8273762"", ""8273756"", ""7941579"", ""8273758"", ""8273755"", ""8273763"", ""2763917"", ""8273754"", ""8273759""]"
