query_id,dcg_score,mrr_score,majority_at_k_score,ranked_doc_ids
19335,0.5336121184453222,0.57356608478803,0.25,"[""6512144"", ""1720395"", ""6512137"", ""1720389"", ""772234"", ""2304004"", ""2304005"", ""691496"", ""8828697""]"
47923,0.23981246656813146,0.1111111111111111,0.0,"[""8641107"", ""4297620"", ""8418681"", ""6241150"", ""5417582"", ""6241152"", ""618556"", ""5417578"", ""2061700""]"
87181,0.5239062501848584,0.5544554455445545,0.6666666666666666,"[""6521366"", ""6484576"", ""6484575"", ""8534134"", ""8534130"", ""8565420"", ""8683183"", ""2530252"", ""8683181""]"
87452,0.4699717285340226,0.42586750788643535,0.0,"[""186939"", ""110898"", ""8819112"", ""186931"", ""8819116"", ""8333919"", ""1395631"", ""8819113"", ""8081937""]"
104861,0.3696610928904502,0.2630241423125794,0.5,"[""442613"", ""5138474"", ""5703400"", ""1811410"", ""6351571"", ""2497738"", ""5836444"", ""6658615"", ""6124839""]"
130510,0.546546529670947,0.608294930875576,1.0,"[""8612903"", ""8612909"", ""799647"", ""8612910"", ""7501558"", ""1494936"", ""8612902"", ""8612904"", ""8612905""]"
131843,0.5394565212826835,0.5907928388746804,1.0,"[""8305152"", ""8305153"", ""8305156"", ""8305158"", ""8305155"", ""8305154"", ""8456964"", ""6054149"", ""5325677""]"
146187,0.32534319029535047,0.1841726618705036,0.0,"[""8434625"", ""8434624"", ""8434619"", ""8434626"", ""4777144"", ""8434623"", ""744165"", ""8434622"", ""8434618""]"
148538,0.456916145584502,0.41284403669724773,0.3333333333333333,"[""231455"", ""8283532"", ""985491"", ""4959638"", ""985488"", ""7407812"", ""7407803"", ""3918785"", ""1392971""]"
156493,0.4628433047468759,0.41666666666666663,0.0,"[""1960257"", ""2928707"", ""3288600"", ""8182160"", ""2612493"", ""3288601"", ""6139386"", ""8182162"", ""6983822""]"
168216,0.28003587433285504,0.14479638009049772,0.0,"[""1301467"", ""8185135"", ""1381477"", ""3830857"", ""13499"", ""8723467"", ""2069992"", ""1924796"", ""1924800""]"
182539,0.6288664245018524,0.7328244274809161,0.5,"[""1307235"", ""57443"", ""8757181"", ""2909960"", ""7371262"", ""57444"", ""6037973"", ""1638689"", ""1638690""]"
183378,0.5365327305530853,0.5764705882352942,0.6666666666666666,"[""7449748"", ""8570258"", ""7449744"", ""4803847"", ""1289489"", ""3185611"", ""4493915"", ""5534710"", ""6109454""]"
207786,0.46320036643292795,0.4090474673462886,0.5,"[""8273762"", ""7941579"", ""8273763"", ""8273754"", ""2763917"", ""8273758"", ""8273756"", ""8273759"", ""8273755""]"
264014,0.37968956770650586,0.2860838075530264,0.5,"[""1804644"", ""4834547"", ""3396076"", ""3338827"", ""96855"", ""5328095"", ""6105569"", ""2223171"", ""6198286""]"
359349,0.40827671000623195,0.34782608695652173,0.3333333333333333,"[""943229"", ""68647"", ""68648"", ""68649"", ""3900185"", ""4013723"", ""2826510"", ""5615181"", ""576628""]"
405717,0.615563331057436,0.7384615384615385,1.0,"[""2702419"", ""4704975"", ""3033900"", ""7728831"", ""8433854"", ""8156519"", ""4828118"", ""2879960"", ""3033904""]"
443396,0.5540858918196759,0.6158357771260997,0.6666666666666666,"[""8536118"", ""8536123"", ""3440850"", ""8536121"", ""8536122"", ""3721948"", ""119472"", ""4052112"", ""4633352""]"
451602,0.4327192055158446,0.3567937438905181,0.0,"[""8383461"", ""5179251"", ""8390518"", ""3177691"", ""5475308"", ""6286982"", ""6286975"", ""6286977"", ""2382274""]"
489204,0.39380713520453353,0.2992922143579373,0.3333333333333333,"[""855963"", ""1778458"", ""8737051"", ""2268652"", ""1051498"", ""5541650"", ""8054792"", ""7116533"", ""1355264""]"
490595,0.46200970729361257,0.4235294117647058,0.5,"[""4842889"", ""805046"", ""4842890"", ""805048"", ""805051"", ""4737063"", ""549465"", ""5247999"", ""4842897""]"
527433,0.527068210217673,0.559322033898305,0.5,"[""8617271"", ""5466810"", ""1379240"", ""3294599"", ""7607669"", ""5466807"", ""1379245"", ""1664523"", ""4046876""]"
573724,0.3621139576925806,0.24153283510892037,0.25,"[""162151"", ""7674859"", ""6776717"", ""5721829"", ""2635262"", ""8833194"", ""7199673"", ""1165129"", ""8441642""]"
833860,0.35378664340223437,0.23357664233576642,0.5,"[""1889863"", ""6230226"", ""8344031"", ""5167513"", ""6230222"", ""6230227"", ""5167510"", ""8833502"", ""5127788""]"
855410,0.5543449343710103,0.6183206106870228,1.0,"[""8651775"", ""8651771"", ""8651770"", ""2890365"", ""1186979"", ""2117094"", ""6934651"", ""6933293"", ""1819434""]"
915593,0.47896370210166334,0.4527363184079602,0.5,"[""3538160"", ""82107"", ""8402971"", ""8402972"", ""6923052"", ""82113"", ""82110"", ""4566822"", ""98515""]"
962179,0.47326336215874637,0.4364288561179753,0.0,"[""8785371"", ""5653659"", ""2329699"", ""4511499"", ""4606386"", ""5919340"", ""2329701"", ""2978871"", ""2978869""]"
1037798,0.6039556244926851,0.7148402508211407,1.0,"[""8760871"", ""4095286"", ""7822415"", ""8760867"", ""3641634"", ""8760866"", ""2360252"", ""7604812"", ""3914692""]"
1063750,0.39490872526011256,0.28930131004366816,0.0,"[""4337532"", ""1923500"", ""7778351"", ""4895432"", ""8438480"", ""7778349"", ""983109"", ""1300452"", ""819285""]"
1103812,0.23981246656813146,0.1111111111111111,0.0,"[""2332189"", ""8220086"", ""8220089"", ""8220085"", ""3843267"", ""8220087"", ""3940091"", ""6289840"", ""1659852""]"
1106007,0.6501906005490485,0.7619047619047619,0.6666666666666666,"[""7685388"", ""1334336"", ""1334335"", ""1334330"", ""2960566"", ""2960563"", ""2960558"", ""4004173"", ""5144927""]"
1110199,0.5741894118647379,0.6584054941773664,0.6666666666666666,"[""1901879"", ""3838638"", ""8160519"", ""1901878"", ""1901876"", ""8160520"", ""4511137"", ""1901882"", ""1901881""]"
1112341,0.34456059242206666,0.2338308457711443,0.25,"[""8139255"", ""8139257"", ""8139258"", ""4022849"", ""4022846"", ""6164791"", ""6903063"", ""8606160"", ""8606161""]"
