query_id,dcg_score,mrr_score,majority_at_k_score,ranked_doc_ids
19335,0.5701518171171941,0.6442831215970962,0.3333333333333333,"[""6512144"", ""6512137"", ""1720395"", ""691496"", ""1720389"", ""772234"", ""8828697"", ""2304004"", ""2304005""]"
47923,0.23981246656813146,0.1111111111111111,0.0,"[""8641107"", ""4297620"", ""8418681"", ""5417582"", ""6241150"", ""6241152"", ""618556"", ""5417578"", ""2061700""]"
87181,0.518673698212921,0.5433255269320844,0.6666666666666666,"[""6521366"", ""6484576"", ""6484575"", ""8534134"", ""8534130"", ""2530252"", ""8565420"", ""8683183"", ""8683181""]"
87452,0.49114955800933885,0.47761194029850745,0.5,"[""186939"", ""8819112"", ""8819116"", ""186931"", ""1395631"", ""8333919"", ""8819113"", ""8081937"", ""110898""]"
104861,0.4565203294343292,0.41147132169576056,0.5,"[""5138474"", ""1811410"", ""5703400"", ""6351571"", ""442613"", ""6658615"", ""2497738"", ""5836444"", ""6124839""]"
130510,0.5624562093170903,0.6434540389972145,1.0,"[""8612903"", ""8612909"", ""7501558"", ""799647"", ""8612910"", ""8612902"", ""8612904"", ""1494936"", ""8612905""]"
131843,0.5394565212826835,0.5907928388746804,1.0,"[""8305152"", ""8305153"", ""8305156"", ""8305158"", ""8305155"", ""8305154"", ""8456964"", ""6054149"", ""5325677""]"
146187,0.45951549433645,0.4037854889589905,0.0,"[""8434624"", ""8434626"", ""8434619"", ""8434625"", ""4777144"", ""8434623"", ""744165"", ""8434622"", ""8434618""]"
148538,0.3187177981825764,0.18248175182481752,0.0,"[""985491"", ""231455"", ""7407812"", ""8283532"", ""985488"", ""7407803"", ""3918785"", ""4959638"", ""1392971""]"
156493,0.4628433047468759,0.41666666666666663,0.0,"[""3288601"", ""2928707"", ""3288600"", ""8182160"", ""2612493"", ""1960257"", ""6139386"", ""8182162"", ""6983822""]"
168216,0.28003587433285504,0.14479638009049772,0.0,"[""1301467"", ""8185135"", ""1381477"", ""3830857"", ""13499"", ""8723467"", ""2069992"", ""1924796"", ""1924800""]"
182539,0.550646621537743,0.6067415730337079,0.5,"[""57443"", ""1307235"", ""8757181"", ""2909960"", ""7371262"", ""57444"", ""6037973"", ""1638689"", ""1638690""]"
183378,0.4617936125245732,0.4153052450558899,0.6666666666666666,"[""7449748"", ""7449744"", ""1289489"", ""8570258"", ""4803847"", ""4493915"", ""3185611"", ""5534710"", ""6109454""]"
207786,0.46320036643292795,0.4090474673462886,0.5,"[""8273762"", ""7941579"", ""8273763"", ""8273754"", ""2763917"", ""8273758"", ""8273756"", ""8273759"", ""8273755""]"
264014,0.41801737114138676,0.3548387096774193,0.5,"[""1804644"", ""96855"", ""6105569"", ""3338827"", ""3396076"", ""4834547"", ""5328095"", ""2223171"", ""6198286""]"
359349,0.4015813443424189,0.32710280373831774,0.5,"[""943229"", ""2826510"", ""68647"", ""4013723"", ""68649"", ""3900185"", ""576628"", ""68648"", ""5615181""]"
405717,0.574415754140353,0.6631578947368422,1.0,"[""2702419"", ""8433854"", ""4704975"", ""3033900"", ""7728831"", ""8156519"", ""2879960"", ""4828118"", ""3033904""]"
443396,0.5778822108268641,0.6620808254514188,0.6666666666666666,"[""8536118"", ""8536121"", ""8536123"", ""3440850"", ""8536122"", ""3721948"", ""4052112"", ""119472"", ""4633352""]"
451602,0.3475292791591713,0.220810647307925,0.0,"[""8390518"", ""5179251"", ""5475308"", ""8383461"", ""3177691"", ""6286975"", ""6286982"", ""6286977"", ""2382274""]"
489204,0.36195644037592073,0.23425414364640884,0.0,"[""855963"", ""1778458"", ""5541650"", ""2268652"", ""1051498"", ""8737051"", ""8054792"", ""7116533"", ""1355264""]"
490595,0.43850647363968237,0.38596491228070173,0.5,"[""4842889"", ""805046"", ""4842897"", ""4842890"", ""805051"", ""4737063"", ""5247999"", ""805048"", ""549465""]"
527433,0.3892989895466853,0.2767527675276753,0.0,"[""8617271"", ""3294599"", ""5466807"", ""7607669"", ""4046876"", ""5466810"", ""1379240"", ""1664523"", ""1379245""]"
573724,0.36747123512292024,0.25509433962264155,0.25,"[""5721829"", ""7199673"", ""162151"", ""2635262"", ""6776717"", ""1165129"", ""8833194"", ""7674859"", ""8441642""]"
833860,0.6396548734802525,0.7480916030534351,0.5,"[""5167510"", ""8344031"", ""5167513"", ""1889863"", ""6230226"", ""6230222"", ""8833502"", ""6230227"", ""5127788""]"
855410,0.5489716496889119,0.6067415730337079,1.0,"[""8651775"", ""8651770"", ""8651771"", ""2890365"", ""1186979"", ""2117094"", ""6933293"", ""1819434"", ""6934651""]"
915593,0.4510283503110881,0.3932584269662921,0.0,"[""3538160"", ""82107"", ""8402971"", ""8402972"", ""82110"", ""4566822"", ""82113"", ""6923052"", ""98515""]"
962179,0.47326336215874637,0.4364288561179753,0.0,"[""5653659"", ""8785371"", ""2329699"", ""4511499"", ""4606386"", ""5919340"", ""2329701"", ""2978871"", ""2978869""]"
1037798,0.5988294158008084,0.7075038284839205,1.0,"[""8760871"", ""3641634"", ""7822415"", ""8760867"", ""8760866"", ""4095286"", ""7604812"", ""2360252"", ""3914692""]"
1063750,0.44172107800911115,0.37842778793418647,0.5,"[""4337532"", ""1923500"", ""7778351"", ""819285"", ""7778349"", ""1300452"", ""4895432"", ""983109"", ""8438480""]"
1103812,0.23981246656813146,0.1111111111111111,0.0,"[""2332189"", ""8220089"", ""8220085"", ""8220086"", ""8220087"", ""3843267"", ""3940091"", ""6289840"", ""1659852""]"
1106007,0.6879989985725973,0.823529411764706,1.0,"[""7685388"", ""1334335"", ""1334336"", ""2960566"", ""2960563"", ""2960558"", ""1334330"", ""4004173"", ""5144927""]"
