query_id,score,prediction
19335,1.0,Neutral
47923,1.0,Neutral
87181,1.0,Benefit
87452,1.0,Neutral
104861,1.0,Neutral
130510,1.0,Neutral
131843,1.0,Neutral
146187,1.0,Hurt
148538,1.0,Hurt
156493,1.0,Benefit
168216,1.0,Hurt
182539,1.0,Neutral
183378,1.0,Hurt
207786,1.0,Neutral
264014,1.0,Neutral
359349,1.0,Hurt
405717,1.0,Neutral
443396,1.0,Neutral
451602,1.0,Hurt
489204,1.0,Neutral
490595,1.0,Neutral
527433,1.0,Neutral
573724,1.0,Hurt
833860,1.0,Neutral
855410,1.0,Neutral
915593,1.0,Neutral
962179,1.0,Hurt
1037798,1.0,Benefit
1063750,1.0,Hurt
1103812,1.0,Hurt
1106007,1.0,Benefit
1110199,1.0,Benefit
1112341,1.0,Hurt
1113437,1.0,Neutral
1114646,1.0,Benefit
1114819,1.0,Benefit
1115776,1.0,Hurt
1117099,1.0,Neutral
1121402,0.0,Insufficient-Data
1121709,1.0,Neutral
1124210,1.0,Hurt
1129237,1.0,Benefit
1133167,1.0,Neutral
