query_id,score,prediction
19335,0.3935747414039923,Hurt
47923,0.4696709804438596,Neutral
87181,0.5814207141268457,Benefit
87452,0.5182844359203054,Neutral
104861,0.38987280969308147,Hurt
130510,0.610816795294235,Benefit
131843,0.546546529670947,Neutral
146187,0.4478385825645931,Neutral
148538,0.4390985192014922,Neutral
156493,0.5372435736804816,Neutral
168216,0.4949030693461728,Neutral
182539,0.5372056731092538,Neutral
183378,0.49875860219935103,Neutral
207786,0.4908564547952067,Neutral
264014,0.47317530567011634,Neutral
359349,0.5459928069198423,Neutral
405717,0.5964787075389523,Benefit
443396,0.4990158250282132,Neutral
451602,0.38343358030540214,Hurt
489204,0.4725723673104747,Neutral
490595,0.4901771212117221,Neutral
527433,0.5162346224490723,Neutral
573724,0.42233269652934596,Hurt
833860,0.483956533204891,Neutral
855410,0.5575352867996559,Neutral
915593,0.4939441447141591,Neutral
962179,0.45830215930274887,Neutral
1037798,0.5527199243085034,Neutral
1063750,0.41240039837497927,Hurt
1103812,0.3798498339017446,Hurt
1106007,0.5270986827832391,Neutral
1110199,0.5882703072531463,Benefit
1112341,0.31234224378570974,Hurt
1113437,0.5528143094510725,Neutral
1114646,0.6166926662159447,Benefit
1114819,0.5564080464355668,Neutral
1115776,0.4668658663221019,Neutral
1117099,0.39795119941395946,Hurt
1121402,,Insufficient-Data
1121709,0.5372435736804816,Neutral
1124210,0.4254416618418976,Hurt
1129237,0.4458333490228606,Neutral
1133167,0.5496007558523377,Neutral
