method_name,stage,predictor,tpr_hurt,tpr_benefit,acc,auc,gamma,gamma_p,rho,rho_p,n_queries,n_hurt,n_benefit,timestamp,h_label,h_pred
Pairwise-Qwen-7B-DCG,posthoc,pairwise Qwen2.5-7B-Instruct DCG,0.1429,0.7692,0.4444,0.456,-0.0676,0.6603,0.0229,0.8872,27,14,13,2026-03-10T13:43:56.519804+00:00,0.05,0.0
Pairwise-Qwen-7B-MRR,posthoc,pairwise Qwen2.5-7B-Instruct MRR,0.1429,0.7692,0.4444,0.4808,-0.0459,0.7562,0.0433,0.7882,27,14,13,2026-03-10T13:43:56.947273+00:00,0.05,0.0
Pairwise-Qwen-7B-Majority@k,posthoc,pairwise Qwen2.5-7B-Instruct Majority@k,0.1429,0.5385,0.3333,0.467,-0.0712,0.7483,0.0187,0.9075,27,14,13,2026-03-10T13:43:57.246162+00:00,0.05,0.0
Pairwise-Qwen-14B-DCG,posthoc,pairwise Qwen2.5-14B-Instruct DCG,0.7143,0.7692,0.7407,0.8022,0.3703,0.014,0.3853,0.0129,27,14,13,2026-03-10T13:43:57.552092+00:00,0.05,0.0
Pairwise-Qwen-14B-MRR,posthoc,pairwise Qwen2.5-14B-Instruct MRR,0.7143,0.7692,0.7407,0.8242,0.3882,0.011,0.4068,0.0083,27,14,13,2026-03-10T13:43:57.859292+00:00,0.05,0.0
Pairwise-Qwen-14B-Majority@k,posthoc,pairwise Qwen2.5-14B-Instruct Majority@k,0.6429,0.7692,0.7037,0.8214,0.5709,0.004,0.5219,0.0005,27,14,13,2026-03-10T13:43:58.157114+00:00,0.05,0.0
Setwise-Qwen-7B-DCG,posthoc,setwise Qwen2.5-7B-Instruct DCG,0.7143,0.7692,0.7407,0.7802,0.405,0.01,0.3952,0.0105,27,14,13,2026-03-10T13:43:58.444197+00:00,0.05,0.0
Setwise-Qwen-7B-MRR,posthoc,setwise Qwen2.5-7B-Instruct MRR,0.7143,0.7692,0.7407,0.7802,0.4132,0.009,0.4015,0.0093,27,14,13,2026-03-10T13:43:58.754915+00:00,0.05,0.0
Setwise-Qwen-7B-Majority@k,posthoc,setwise Qwen2.5-7B-Instruct Majority@k,0.5,0.5385,0.5185,0.6456,0.342,0.0509,0.2756,0.0852,27,14,13,2026-03-10T13:43:59.033553+00:00,0.05,0.0
Setwise-Qwen-14B-DCG,posthoc,setwise Qwen2.5-14B-Instruct DCG,0.7857,0.6923,0.7407,0.7308,0.3214,0.036,0.377,0.0151,27,14,13,2026-03-10T13:43:59.330351+00:00,0.05,0.0
Setwise-Qwen-14B-MRR,posthoc,setwise Qwen2.5-14B-Instruct MRR,0.7857,0.6923,0.7407,0.7363,0.3464,0.026,0.3973,0.0101,27,14,13,2026-03-10T13:43:59.638437+00:00,0.05,0.0
Setwise-Qwen-14B-Majority@k,posthoc,setwise Qwen2.5-14B-Instruct Majority@k,0.7143,0.6923,0.7037,0.761,0.5411,0.002,0.4778,0.0016,27,14,13,2026-03-10T13:43:59.952789+00:00,0.05,0.0
Setwise-R1-7B-DCG,posthoc,setwise Qwen2.5-7B-Instruct DCG,0.7857,0.6154,0.7037,0.7473,0.35,0.027,0.4145,0.0071,27,14,13,2026-03-10T13:44:00.250314+00:00,0.05,0.0
Setwise-R1-7B-MRR,posthoc,setwise Qwen2.5-7B-Instruct MRR,0.7857,0.6154,0.7037,0.7418,0.3631,0.02,0.4247,0.0056,27,14,13,2026-03-10T13:44:00.553921+00:00,0.05,0.0
Setwise-R1-7B-Majority@k,posthoc,setwise Qwen2.5-7B-Instruct Majority@k,0.5714,0.6154,0.5926,0.8132,0.5372,0.006,0.5092,0.0007,27,14,13,2026-03-10T13:44:00.870648+00:00,0.05,0.0
Setwise-R1-14B-DCG,posthoc,setwise Qwen2.5-14B-Instruct DCG,0.7857,0.8462,0.8148,0.8626,0.45,0.009,0.4749,0.0017,27,14,13,2026-03-10T13:44:01.170350+00:00,0.05,0.0
Setwise-R1-14B-MRR,posthoc,setwise Qwen2.5-14B-Instruct MRR,0.7857,0.8462,0.8148,0.8846,0.4741,0.006,0.5029,0.0008,27,14,13,2026-03-10T13:44:01.568689+00:00,0.05,0.0
Setwise-R1-14B-Majority@k,posthoc,setwise Qwen2.5-14B-Instruct Majority@k,0.7143,0.6923,0.7037,0.8324,0.569,0.002,0.5113,0.0006,27,14,13,2026-03-10T13:44:01.874092+00:00,0.05,0.0
