method_name,stage,predictor,tpr_hurt,tpr_benefit,acc,auc,gamma,gamma_p,rho,rho_p,n_queries,n_hurt,n_benefit,timestamp,h_pred
Pairwise-Qwen-7B-DCG,posthoc,pairwise Qwen2.5-7B-Instruct DCG,0.1429,0.8333,0.4615,0.4821,-0.0349,0.814,0.0229,0.8872,26,14,12,2026-02-27T19:54:27.545885+00:00,0.0211
Pairwise-Qwen-7B-MRR,posthoc,pairwise Qwen2.5-7B-Instruct MRR,0.1429,0.8333,0.4615,0.5089,-0.0129,0.9334,0.0433,0.7882,26,14,12,2026-02-27T19:54:30.470992+00:00,0.0361
Pairwise-Qwen-7B-Majority@k,posthoc,pairwise Qwen2.5-7B-Instruct Majority@k,0.1429,0.5833,0.3462,0.4821,-0.0501,0.8034,0.0187,0.9075,26,14,12,2026-02-27T19:54:33.375289+00:00,0.125
Pairwise-Qwen-14B-DCG,posthoc,pairwise Qwen2.5-14B-Instruct DCG,0.2857,0.4167,0.3462,0.7857,0.325,0.032,0.3853,0.0129,26,14,12,2026-02-27T20:03:56.477872+00:00,0.0702
Pairwise-Qwen-14B-MRR,posthoc,pairwise Qwen2.5-14B-Instruct MRR,0.2857,0.4167,0.3462,0.8095,0.3573,0.0184,0.4068,0.0083,26,14,12,2026-02-27T20:03:59.498864+00:00,0.1492
Pairwise-Qwen-14B-Majority@k,posthoc,pairwise Qwen2.5-14B-Instruct Majority@k,0.5,0.5833,0.5385,0.8185,0.565,0.002,0.5219,0.0005,26,14,12,2026-02-27T20:04:02.402964+00:00,0.2083
Setwise-Qwen-7B-DCG,posthoc,setwise Qwen2.5-7B-Instruct DCG,0.5,0.4167,0.4615,0.7976,0.4363,0.0044,0.3952,0.0105,26,14,12,2026-02-27T20:07:10.096695+00:00,0.0687
Setwise-Qwen-7B-MRR,posthoc,setwise Qwen2.5-7B-Instruct MRR,0.5,0.4167,0.4615,0.7976,0.4444,0.0034,0.4015,0.0093,26,14,12,2026-02-27T20:07:14.710513+00:00,0.1481
Setwise-Qwen-7B-Majority@k,posthoc,setwise Qwen2.5-7B-Instruct Majority@k,0.2857,0.5,0.3846,0.6518,0.3508,0.0406,0.2756,0.0852,26,14,12,2026-02-27T20:07:17.637506+00:00,0.25
Setwise-Qwen-14B-DCG,posthoc,setwise Qwen2.5-14B-Instruct DCG,0.4286,0.1667,0.3077,0.7083,0.276,0.0678,0.377,0.0151,26,14,12,2026-02-27T20:29:50.679603+00:00,0.0743
