qid,preference,raw_gain,adjusted_gain
104861,PRF-Benefit,38,11.523809523809526
130510,PRF-Benefit,21,-5.4761904761904745
131843,PRF-Benefit,22,-4.4761904761904745
146187,PRF-Hurt,0,-26.476190476190474
148538,PRF-Benefit,42,15.523809523809526
156493,Neutral,6,-20.476190476190474
1037798,PRF-Benefit,68,41.523809523809526
1063750,PRF-Hurt,69,42.523809523809526
1103812,PRF-Hurt,34,7.5238095238095255
1106007,Neutral,51,24.523809523809526
1110199,PRF-Benefit,51,24.523809523809526
1112341,PRF-Hurt,38,11.523809523809526
1113437,Neutral,30,3.5238095238095255
1114646,Neutral,43,16.523809523809526
1114819,Neutral,31,4.5238095238095255
1115776,PRF-Hurt,31,4.5238095238095255
1117099,Neutral,18,-8.476190476190474
1121402,Insufficient-Data,21,-5.4761904761904745
1121709,Insufficient-Data,43,16.523809523809526
1124210,Neutral,36,9.523809523809526
1129237,Neutral,29,2.5238095238095255
1133167,Neutral,44,17.523809523809526
19335,PRF-Benefit,40,13.523809523809526
47923,Neutral,-10,-36.476190476190474
87181,Neutral,-3,-29.476190476190474
87452,PRF-Hurt,41,14.523809523809526
168216,Neutral,-8,-34.476190476190474
182539,Neutral,30,3.5238095238095255
183378,Neutral,5,-21.476190476190474
207786,Neutral,11,-15.476190476190474
264014,Neutral,11,-15.476190476190474
359349,PRF-Hurt,10,-16.476190476190474
405717,PRF-Benefit,18,-8.476190476190474
443396,PRF-Benefit,30,3.5238095238095255
451602,PRF-Hurt,79,52.523809523809526
489204,PRF-Hurt,13,-13.476190476190474
490595,Neutral,22,-4.4761904761904745
527433,Neutral,34,7.5238095238095255
573724,Neutral,60,33.523809523809526
833860,Neutral,67,40.523809523809526
855410,PRF-Hurt,51,24.523809523809526
915593,Neutral,49,22.523809523809526
962179,PRF-Hurt,44,17.523809523809526
