qid,a_only_clicks,b_only_clicks,both_clicks,total_clicks,discriminative_clicks,b_preference_ratio,preference
47923,15(1),8(1),112(6),135,23,0.34782608695652173,PRF-Hurt
87181,47(3),45(3),62(3),154,92,0.4891304347826087,Neutral
156493,22(1),17(1),116(6),155,39,0.4358974358974359,Neutral
168216,36(2),33(2),101(5),170,69,0.4782608695652174,Neutral
182539,22(2),22(2),52(5),96,44,0.5,Neutral
183378,54(3),44(3),40(2),138,98,0.4489795918367347,Neutral
207786,17(3),29(3),38(3),84,46,0.6304347826086957,PRF-Benefit
264014,62(3),54(3),43(2),159,116,0.46551724137931033,Neutral
490595,47(3),49(3),62(3),158,96,0.5104166666666666,Neutral
527433,16(2),11(2),63(5),90,27,0.4074074074074074,Neutral
573724,91(4),99(4),26(1),216,190,0.5210526315789473,Neutral
833860,28(2),28(2),83(4),139,56,0.5,Neutral
915593,30(2),28(2),93(4),151,58,0.4827586206896552,Neutral
1106007,42(2),52(2),101(4),195,94,0.5531914893617021,Neutral
1113437,54(3),66(3),42(2),162,120,0.55,Neutral
1114646,28(2),39(2),119(5),186,67,0.582089552238806,Neutral
1114819,43(2),48(2),80(4),171,91,0.5274725274725275,Neutral
1117099,36(2),31(2),91(5),158,67,0.4626865671641791,Neutral
1121402,0(0),0(0),172(8),172,0,,Insufficient-Data
1121709,5(1),5(1),79(7),89,10,0.5,Neutral
1124210,56(3),49(3),34(2),139,105,0.4666666666666667,Neutral
1129237,44(2),44(2),71(5),159,88,0.5,Neutral
1133167,68(3),67(3),75(3),210,135,0.4962962962962963,Neutral
