qid,e2e_only_clicks,prf_only_clicks,total_known_clicks
19335,0(0),122(9),122
87452,60(9),0(0),60
104861,0(0),148(9),148
130510,0(0),156(9),156
131843,0(0),132(9),132
146187,120(9),0(0),120
148538,0(0),144(9),144
359349,141(9),0(0),141
405717,0(0),107(9),107
443396,0(0),99(9),99
451602,156(9),0(0),156
489204,118(9),0(0),118
855410,97(9),0(0),97
962179,176(9),0(0),176
1037798,0(0),166(9),166
1063750,125(9),0(0),125
1103812,116(9),0(0),116
1110199,0(0),179(9),179
1112341,95(9),0(0),95
1115776,110(9),0(0),110
