qid,a_only_clicks,b_only_clicks,both_clicks,total_clicks,discriminative_clicks,b_preference_ratio,preference
104861,23(3),57(3),30(2),110,80,0.7125,PRF-Benefit
130510,12(2),30(2),93(5),135,42,0.7142857142857143,PRF-Benefit
131843,1(2),25(2),84(4),110,26,0.9615384615384616,PRF-Benefit
146187,27(2),8(2),85(5),120,35,0.22857142857142856,PRF-Hurt
148538,12(2),33(2),57(4),102,45,0.7333333333333333,PRF-Benefit
156493,17(1),19(1),113(6),149,36,0.5277777777777778,Neutral
1037798,3(3),40(3),55(3),98,43,0.9302325581395349,PRF-Benefit
1063750,20(3),6(3),30(2),56,26,0.23076923076923078,PRF-Hurt
1103812,8(1),4(1),70(7),82,12,0.3333333333333333,PRF-Hurt
1106007,30(2),40(2),74(4),144,70,0.5714285714285714,Neutral
1110199,30(3),51(3),47(3),128,81,0.6296296296296297,PRF-Benefit
1112341,50(3),6(3),1(3),57,56,0.10714285714285714,PRF-Hurt
1113437,44(3),57(3),31(2),132,101,0.5643564356435643,Neutral
1114646,22(2),29(2),92(5),143,51,0.5686274509803921,Neutral
1114819,35(2),35(2),70(4),140,70,0.5,Neutral
1115776,11(2),6(2),62(4),79,17,0.35294117647058826,PRF-Hurt
1117099,29(2),28(2),83(5),140,57,0.49122807017543857,Neutral
1121402,0(0),0(0),151(8),151,0,,Insufficient-Data
1121709,0(1),0(1),46(7),46,0,,Insufficient-Data
1124210,37(3),39(3),27(2),103,76,0.5131578947368421,Neutral
1129237,38(2),42(2),50(5),130,80,0.525,Neutral
1133167,54(3),49(3),63(3),166,103,0.47572815533980584,Neutral
19335,21(3),34(3),27(2),82,55,0.6181818181818182,PRF-Benefit
47923,18(1),14(1),113(6),145,32,0.4375,Neutral
87181,49(3),38(3),70(3),157,87,0.4367816091954023,Neutral
87452,6(2),3(2),10(4),19,9,0.3333333333333333,PRF-Hurt
168216,41(2),35(2),102(5),178,76,0.4605263157894737,Neutral
182539,9(2),9(2),48(5),66,18,0.5,Neutral
183378,47(3),46(3),40(2),133,93,0.4946236559139785,Neutral
207786,13(3),13(3),47(3),73,26,0.5,Neutral
264014,56(3),50(3),42(2),148,106,0.4716981132075472,Neutral
359349,34(2),21(2),76(5),131,55,0.38181818181818183,PRF-Hurt
405717,2(2),19(2),68(5),89,21,0.9047619047619048,PRF-Benefit
443396,6(3),25(3),38(2),69,31,0.8064516129032258,PRF-Benefit
451602,31(3),20(3),26(2),77,51,0.39215686274509803,PRF-Hurt
489204,44(3),29(3),32(3),105,73,0.3972602739726027,PRF-Hurt
490595,41(3),46(3),49(3),136,87,0.5287356321839081,Neutral
527433,6(2),5(2),45(5),56,11,0.45454545454545453,Neutral
573724,67(4),69(4),20(1),156,136,0.5073529411764706,Neutral
833860,8(2),10(2),54(4),72,18,0.5555555555555556,Neutral
855410,1(2),0(2),45(4),46,1,0.0,PRF-Hurt
915593,17(2),12(2),73(4),102,29,0.41379310344827586,Neutral
962179,43(3),21(3),68(3),132,64,0.328125,PRF-Hurt
