qid,docno,rank,origin_label,query,text
19335,2304005,0,PRF-Only,anthropological definition of environment,"Definition of environment - the surroundings or conditions in which a person, animal, or plant lives or operates, the natural world, as a whole or in a partic Definition of environment - the surroundings or conditions in which a person, animal, or plant lives or operates, the natural world, as a whole or in a partic dictionary thesaurus"
19335,6512137,1,PRF-Only,anthropological definition of environment,"1 Meaning of environment. Environment means everything around to a living being. Especially the circumstances of life of people or society in their life conditions. It comprises the set of natural, social and cultural values existing in a place and at a particular time, that influence in the life of the human being and in the generations to come."
19335,6512144,2,PRF-Only,anthropological definition of environment,"3 Concept of environment. The environment is a system consisting of natural and artificial elements that are interrelated and which are modified by human action. It's the environment that affects the way of life of the society, including natural, social and cultural values that exist in a place and time."
19335,8828697,3,PRF-Only,anthropological definition of environment,"Environment. The environment is the world in which the organization operates, and includes conditions that influence the organization such as economic, social-cultural, legal-political, technological, and natural environment conditions. Environments are often described as either stable or dynamic."
19335,2304004,4,PRF-Only,anthropological definition of environment,"Definition of environment for Students. 1  1 : a person's physical surroundings He lives in a comfortable rural environment. 2  2 : the surrounding conditions or forces (as soil, climate, and living things) that influence a plant's or animal's characteristics and ability to survive."
19335,211275,5,PRF-Only,anthropological definition of environment,"environment. 1  the aggregate of surrounding things, conditions, or influences; surroundings; milieu. 2  Ecology. the air, water, minerals, organisms, and all other external factors surrounding and affecting a given organism at any time. 3  the social and cultural forces that shape the life of a person or a population."
19335,772234,6,PRF-Only,anthropological definition of environment,"Definition of environment: The sum total of all surroundings of a living organism, including natural forces and other living things, which provide conditions for development and growth as well as of danger and damage. See ..."
19335,93557,7,PRF-Only,anthropological definition of environment,"syn: environment, milieu, ambiance, setting refer to the objects, conditions, or circumstances that influence the life of an individual or community. environment may refer to physical or to social and cultural surroundings: an environment of grinding poverty."
19335,772227,8,PRF-Only,anthropological definition of environment,"Environment is everything that is around. It can be living or non-living things. It includes physical, chemical and other natural forces. Living things live in their environment. They constantly interact with it and change in response to conditions in their environment."
47923,618556,0,Both,axon terminals or synaptic knob definition,"Axon terminals (also called synaptic boutons) are distal terminations of the branches of an axon. An axon nerve fiber is a long, slender projection of a nerve cell, or neuron, that conducts electrical impulses (called action potentials) away from the neuron's cell body, or soma, in order to transmit those impulses to other neurons."
47923,4297620,1,Both,axon terminals or synaptic knob definition,"axon terminal = synaptic end bulb - The swollen or knob-like distal endings to the terminal branches of axons (and axon collaterals) which house the secretory components of the neuron; the site of synthesis, packaging, storage and release of neurotransmitter molecules."
47923,6241150,2,Both,axon terminals or synaptic knob definition,Axon terminals refer to the axon endings that are somewhat enlarged and often club-or button-shaped. Axon terminals are that part of a nerve cell that make synaptic connections with another nerve cell or with an effector cell (e.g. muscle cell or gland cell).
47923,5417582,3,Both,axon terminals or synaptic knob definition,"noun, singular: axon terminal. Button-like endings of axons through which axons make synaptic contacts with other nerve cells or with effector cells. Supplement. Axon terminals refer to the axon endings that are somewhat enlarged and often club-or button-shaped.Axon terminals are that part of a nerve cell that make synaptic connections with another nerve cell or with an effector cell (e.g. muscle cell or gland cell).Axon terminals contain various neurotransmitters and release them at the synapse.oun, singular: axon terminal. Button-like endings of axons through which axons make synaptic contacts with other nerve cells or with effector cells. Supplement. Axon terminals refer to the axon endings that are somewhat enlarged and often club-or button-shaped."
47923,8641107,4,A-Only,axon terminals or synaptic knob definition,Axons usually have thousands of terminal branches that each end as a bulbous enlargement called a synaptic knob or synaptic terminal. Synaptic knobs contain several membrane-bounded synaptic vesicles that are 40 to 100 nanometers in diameter.
47923,6241152,5,Both,axon terminals or synaptic knob definition,Axon terminals are that part of a nerve cell that make synaptic connections with another nerve cell or with an effector cell (e.g. muscle cell or gland cell). Axon terminals contain various neurotransmitters and release them at the synapse.
47923,8418681,6,Both,axon terminals or synaptic knob definition,"Axons often have thousands of terminal branches, each ending as a bulbous enlargement, the synaptic knob or synaptic terminal. At the synaptic knob, the action potential is converted into a chemical message which, in turn, interacts with the recipient neuron or effector. This process is synaptic transmission."
47923,5417578,7,B-Only,axon terminals or synaptic knob definition,"An axon (from Greek ἄξων axōn, áxōn), axis is a, long slender projection of a nerve, cell or, neuron that typically conducts electrical impulses away from the'neuron s cell. bodyhen an action potential reaches a presynaptic terminal, it activates the synaptic transmission process. The first step is rapid opening of calcium ion channels in the membrane of the axon, allowing calcium ions to flow inward across the membrane."
47923,4490071,8,Easy-Negative,axon terminals or synaptic knob definition,"Many subprime mortgages had a low initial interest rate for the first two or three years and those who defaulted were 'swapped' regularly at first, but finally, a bigger share of borrowers began to default in staggering numbers."
87181,6484576,0,Both,causes of left ventricular hypertrophy,Left ventricular hypertrophy is a thickening of the wall of the heart's main pumping chamber. This thickening may result in elevation of pressure within the heart and sometimes poor pumping action. The most common cause is high blood pressure.
87181,8565420,1,Both,causes of left ventricular hypertrophy,"Left ventricular hypertrophy is thought to be the leading cause of sudden cardiac death in the adult population. This is most commonly the result of longstanding high blood pressure which has caused secondary damage to the wall of the main pumping chamber of the heart, the left ventricle."
