qid,docno,rank,origin_label
1037798,8760871,0,Both
1037798,7822415,1,Both
1037798,8760866,2,Both
1037798,2360252,3,A-Only
1037798,3641634,4,B-Only
1037798,3914692,5,A-Only
1037798,4095286,6,B-Only
1037798,7604812,7,A-Only
1037798,8760867,8,B-Only
104861,2497738,0,A-Only
104861,5703400,1,B-Only
104861,5703401,2,B-Only
104861,459676,3,B-Only
104861,6124839,4,A-Only
104861,8495099,5,B-Only
104861,5138474,6,A-Only
104861,442613,7,A-Only
104861,1017088,8,Easy-Negative
1063750,1923500,0,A-Only
1063750,4337532,1,B-Only
1063750,1300452,2,Both
1063750,983109,3,B-Only
1063750,8438480,4,A-Only
1063750,7778349,5,B-Only
1063750,7778351,6,A-Only
1063750,819285,7,B-Only
1063750,3547678,8,A-Only
1103812,8220086,0,A-Only
1103812,8220089,1,B-Only
1103812,3940091,2,B-Only
1103812,8220085,3,B-Only
1103812,8220087,4,A-Only
1103812,1659852,5,B-Only
1103812,3843267,6,A-Only
1103812,2332189,7,A-Only
1103812,1016020,8,Easy-Negative
1106007,1334336,0,Both
1106007,2960558,1,A-Only
1106007,4173709,2,B-Only
1106007,1334335,3,A-Only
1106007,1334328,4,B-Only
1106007,2960563,5,Both
1106007,4173712,6,B-Only
1106007,1334330,7,A-Only
1106007,1040867,8,Easy-Negative
1110199,1901879,0,Both
1110199,8160519,1,Both
1110199,4511137,2,A-Only
1110199,1901878,3,B-Only
1110199,8160520,4,Both
1110199,1901876,5,A-Only
1110199,3838638,6,B-Only
1110199,1901881,7,A-Only
1110199,1901882,8,B-Only
1112341,8139257,0,A-Only
1112341,8606160,1,B-Only
1112341,4022846,2,B-Only
1112341,8606161,3,B-Only
1112341,8139255,4,A-Only
1112341,6903063,5,B-Only
1112341,8139258,6,A-Only
1112341,8139256,7,A-Only
1112341,115980,8,Easy-Negative
1113437,2001934,0,Both
1113437,4016930,1,A-Only
1113437,1768727,2,B-Only
1113437,2001933,3,B-Only
1113437,8128796,4,A-Only
1113437,2001936,5,B-Only
1113437,2354947,6,A-Only
1113437,631949,7,B-Only
1113437,3880944,8,A-Only
1114646,5279567,0,Both
1114646,8117090,1,Both
1114646,2647994,2,Both
1114646,6704400,3,A-Only
1114646,8117091,4,B-Only
1114646,8117096,5,B-Only
1114646,8117089,6,Both
1114646,8329774,7,A-Only
1114646,1002453,8,Easy-Negative
1114819,785027,0,Both
1114819,1315998,1,Both
1114819,5521373,2,Both
1114819,988373,3,A-Only
1114819,8022280,4,B-Only
1114819,4890560,5,A-Only
1114819,1724520,6,B-Only
1114819,3781418,7,A-Only
1114819,6941478,8,B-Only
1115776,8106321,0,Both
1115776,4314176,1,Both
1115776,8106320,2,Both
1115776,4314174,3,Both
1115776,8106324,4,A-Only
1115776,4314172,5,B-Only
1115776,4314175,6,A-Only
1115776,1729576,7,B-Only
1115776,5232955,8,Easy-Negative
1117099,6122722,0,A-Only
1117099,8446505,1,B-Only
1117099,3543106,2,B-Only
1117099,8446501,3,B-Only
1117099,8093934,4,A-Only
1117099,4458509,5,B-Only
1117099,3349612,6,A-Only
1117099,8093932,7,A-Only
1117099,1061013,8,Easy-Negative
1121402,8052624,0,Both
1121402,182369,1,Both
1121402,8052617,2,Both
1121402,182366,3,Both
1121402,8052620,4,A-Only
1121402,182372,5,B-Only
1121402,5189913,6,A-Only
1121402,188213,7,B-Only
1121402,1151509,8,Easy-Negative
1121709,8049583,0,Both
1121709,8049579,1,A-Only
1121709,3423067,2,B-Only
1121709,3423062,3,A-Only
1121709,8049585,4,A-Only
1121709,8049578,5,B-Only
1121709,3423063,6,A-Only
1121709,8049586,7,B-Only
1121709,3423059,8,B-Only
1124210,2728448,0,A-Only
1124210,7695217,1,B-Only
1124210,2089544,2,Both
1124210,8026737,3,A-Only
1124210,8492305,4,B-Only
1124210,7443586,5,A-Only
1124210,2461683,6,B-Only
1124210,8026735,7,A-Only
1124210,5587711,8,B-Only
1129237,8588226,0,A-Only
1129237,8588219,1,B-Only
1129237,8588222,2,A-Only
1129237,4254811,3,A-Only
1129237,6080460,4,B-Only
1129237,128984,5,B-Only
1129237,3905802,6,B-Only
1129237,4254816,7,A-Only
1129237,4779185,8,Easy-Negative
1133167,4922619,0,A-Only
1133167,434125,1,B-Only
1133167,190804,2,B-Only
1133167,4498474,3,A-Only
1133167,1824480,4,B-Only
1133167,434121,5,A-Only
1133167,3023120,6,A-Only
1133167,1824479,7,B-Only
1133167,1014506,8,Easy-Negative
130510,8612910,0,A-Only
130510,799647,1,B-Only
130510,8612903,2,B-Only
130510,8612909,3,A-Only
130510,7501558,4,B-Only
130510,8612904,5,A-Only
130510,8612902,6,B-Only
130510,8612905,7,A-Only
130510,1046258,8,Easy-Negative
131843,8305152,0,A-Only
131843,8305156,1,B-Only
131843,8305153,2,A-Only
131843,8305158,3,B-Only
131843,985994,4,B-Only
131843,8456964,5,A-Only
131843,8305155,6,B-Only
131843,5325677,7,A-Only
131843,1033903,8,Easy-Negative
146187,8434623,0,A-Only
146187,8434619,1,B-Only
146187,8434624,2,B-Only
146187,4777144,3,A-Only
146187,8434618,4,B-Only
146187,8434626,5,A-Only
146187,8434625,6,A-Only
146187,744165,7,B-Only
146187,4887772,8,Easy-Negative
148538,8283532,0,Both
148538,7407803,1,A-Only
148538,985490,2,B-Only
148538,231455,3,A-Only
148538,985491,4,A-Only
148538,7407812,5,B-Only
148538,3918785,6,B-Only
148538,985488,7,A-Only
148538,4959638,8,B-Only
156493,3288601,0,A-Only
156493,8182162,1,B-Only
